text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @melaogustavo: Não confie nas pessoas. Não espere o melhor delas...

Meu bolão foi pro saco. Obrigado, Griffin!!!

#Worlds2019",FALSE,0,NA,2019-10-27T01:53:16Z,FALSE,NA,1188272418202279938,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RomeroC137,287,TRUE,FALSE,NA,NA
"RT @FNATIC: THIS IS OUR TIME, THIS IS OUR REGION, THIS IS OUR WORLDS. #Worlds2019 #AlwaysFnatic

ESTA ES NUESTRA CASA, MADRID

https://t.co…",FALSE,0,NA,2019-10-27T01:53:13Z,FALSE,NA,1188272408484073472,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CineParaIdiotas,282,TRUE,FALSE,NA,NA
Got very Teary eye Watching  Stand Up to Cancer at the World Series as I have known family and friends with the dis… https://t.co/GFaGr1EFvx,FALSE,0,NA,2019-10-27T01:53:09Z,TRUE,NA,1188272390309986304,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Bartman51,0,FALSE,FALSE,NA,NA
RT @AntonioHdez_D: NOS VAMOS PAL PUTO CIELO #Worlds2019 https://t.co/ptxiK0ptYd,FALSE,0,NA,2019-10-27T01:53:05Z,FALSE,NA,1188272373289631744,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",YenhyFlores,1,TRUE,FALSE,NA,NA
RT @FNATIC: Well... #Worlds2019 https://t.co/Jv0duCagJn,FALSE,0,NA,2019-10-27T01:53:05Z,FALSE,NA,1188272373163790336,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CineParaIdiotas,1561,TRUE,FALSE,NA,NA
RT @FNATIC: Well... #Worlds2019 https://t.co/Jv0duCagJn,FALSE,0,NA,2019-10-27T01:53:00Z,FALSE,NA,1188272353769377793,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",a_melett,1561,TRUE,FALSE,NA,NA
RT @Cloud9: The #LCS teams enjoying #Worlds2019 right now https://t.co/QI1hz04ZXH,FALSE,0,NA,2019-10-27T01:52:57Z,FALSE,NA,1188272339898621952,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TheLittleMII,226,TRUE,FALSE,NA,NA
This is starting to feel like @Braves vs @Yankees ‘96 #Worlds2019,FALSE,0,NA,2019-10-27T01:52:35Z,FALSE,NA,1188272249469452290,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yrboy_friendshp,0,FALSE,FALSE,NA,NA
"RT @FNATIC: The blood on a battlefield comes from those who stood.

But what grows after is colours of a region proud, learned, wounded, st…",FALSE,0,NA,2019-10-27T01:52:28Z,FALSE,NA,1188272217903120384,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KelssAlim,798,TRUE,FALSE,NA,NA
#californiawildfires top healdines @CBSNewsRadio also - latest #ImpeachmentInquiry developments &amp; @sfutterman at Ga… https://t.co/oLw03agrm8,FALSE,0,NA,2019-10-27T01:52:21Z,TRUE,NA,1188272189302333441,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",TOMFOTY,0,FALSE,FALSE,NA,NA
RT @FNATIC: Well... #Worlds2019 https://t.co/Jv0duCagJn,FALSE,0,NA,2019-10-27T01:52:10Z,FALSE,NA,1188272144012185602,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Pand0lfe,1561,TRUE,FALSE,NA,NA
"RT @FNATIC: The blood on a battlefield comes from those who stood.

But what grows after is colours of a region proud, learned, wounded, st…",FALSE,0,NA,2019-10-27T01:52:03Z,FALSE,NA,1188272114899419137,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",since1996x,798,TRUE,FALSE,NA,NA
"RT @lolnews_612com: みなさんThe Shyのヘイルブレードヤスオに驚きでしょうが、日本サーバーでは彼より先にヘイルヤスオをやった有名人がいることをご存知でしょうか？

そう!!　我らが皇帝 DFM Ceros(日本サーバーさん)が!!!!

やはり彼は皇帝。…",FALSE,0,NA,2019-10-27T01:51:53Z,FALSE,NA,1188272072104919041,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",chikahilt,168,TRUE,FALSE,NA,NA
"RT @FNATIC: The blood on a battlefield comes from those who stood.

But what grows after is colours of a region proud, learned, wounded, st…",FALSE,0,NA,2019-10-27T01:51:47Z,FALSE,NA,1188272047966822401,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SergioGnz_,798,TRUE,FALSE,NA,NA
"RT @lolnews_612com: みなさんThe Shyのヘイルブレードヤスオに驚きでしょうが、日本サーバーでは彼より先にヘイルヤスオをやった有名人がいることをご存知でしょうか？

そう!!　我らが皇帝 DFM Ceros(日本サーバーさん)が!!!!

やはり彼は皇帝。…",FALSE,0,NA,2019-10-27T01:51:25Z,FALSE,NA,1188271954844741632,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",novasuka_1,168,TRUE,FALSE,NA,NA
RT @FNATIC: Well... #Worlds2019 https://t.co/Jv0duCagJn,FALSE,0,NA,2019-10-27T01:51:19Z,FALSE,NA,1188271928970231809,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lilcbas,1561,TRUE,FALSE,NA,NA
RT @FNATIC: Well... #Worlds2019 https://t.co/Jv0duCagJn,FALSE,0,NA,2019-10-27T01:50:53Z,FALSE,NA,1188271821109579778,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kasaitox,1561,TRUE,FALSE,NA,NA
RT @FNATIC: Well... #Worlds2019 https://t.co/Jv0duCagJn,FALSE,0,NA,2019-10-27T01:50:44Z,FALSE,NA,1188271780059856896,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JulianGarnicaM,1561,TRUE,FALSE,NA,NA
RT @FNATIC: Well... #Worlds2019 https://t.co/Jv0duCagJn,FALSE,0,NA,2019-10-27T01:50:41Z,FALSE,NA,1188271769414750208,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ricki_1999,1561,TRUE,FALSE,NA,NA
RT @sjokz: VAMOS! #WORLDS2019 🇪🇸 https://t.co/4xxh5oCVSI,FALSE,0,NA,2019-10-27T01:50:31Z,FALSE,NA,1188271727391981568,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",HectorH71982180,1302,TRUE,FALSE,NA,NA
RT @lolesports: When you've accepted your fate... #Worlds2019 https://t.co/QxjznZBg3N,FALSE,0,NA,2019-10-27T01:49:27Z,FALSE,NA,1188271459803656193,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Gerarf6,716,TRUE,FALSE,NA,NA
"RT @invgaming: #Worlds2019 quarterfinal 
cr: @Yicun_liu https://t.co/desTqqPOS7",FALSE,0,NA,2019-10-27T01:49:13Z,FALSE,NA,1188271399045095424,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hhhhichi,28,TRUE,FALSE,NA,NA
RT @lolesports: PENTAKILL FOR VIPER! #Worlds2019 https://t.co/UYSmRqzbHQ,FALSE,0,NA,2019-10-27T01:49:10Z,FALSE,NA,1188271386432851968,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",David4R,1700,TRUE,FALSE,NA,NA
"RT @maisesportsbr: #LeagueOfLegends: Será que teremos o ""PEY"" do @GruntarTV no #Worlds2019 ?

https://t.co/IA1E75nF9N",FALSE,0,NA,2019-10-27T01:48:01Z,FALSE,NA,1188271097969610753,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Marcos_vinee18,204,TRUE,FALSE,NA,NA
"RT @RiotAzael: I bought regular season Griffin but got BO5 Griffin.

What a ripoff!

#Worlds2019",FALSE,0,NA,2019-10-27T01:47:47Z,FALSE,NA,1188271040444555265,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",deathsinper,24,TRUE,FALSE,NA,NA
"En #ClaroGamers de @RedMasTv , @MicheiruR  y yo hablamos y analizamos #Worlds2019 y los 8 equipos que aspiran al tí… https://t.co/3hG572JGBM",FALSE,0,NA,2019-10-27T01:47:33Z,TRUE,NA,1188270978805223424,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",LeJ_lol,0,FALSE,FALSE,NA,NA
RT @ierrejon: Este fin de semana se congregan en Madrid miles de personas con motivo de los cuartos de final de los #Worlds2019 de League o…,FALSE,0,NA,2019-10-27T01:47:28Z,FALSE,NA,1188270961285586946,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",stagadw,607,TRUE,FALSE,NA,NA
